country_code,crop_type,adm_id,yield,lat,lon,harvest_area,production
SK,wheat,SK010,4.026,48.31676067229216,17.178918047734566,16136.105,64924.899999999994
SK,wheat,SK021,4.89,48.35358900180887,17.53457876518319,58592.735,286930.44999999995
SK,wheat,SK022,4.965,48.85866063691397,18.21447182828809,22158.03,110012.3
SK,wheat,SK023,5.3055,48.14165354589741,18.31031467665118,114043.595,605333.95
SK,wheat,SK041,3.926,49.12354472062279,21.224389624697874,28637.04,112425.7
SK,wheat,SK042,4.714499999999999,48.69717380524902,21.26640805734294,55667.395000000004,261395.94999999998
SE,wheat,SE110,5.21547619047619,59.47183924290183,18.160858308852486,15011.929666666667,79086.19047619047
SE,wheat,SE121,5.439238095238095,60.05444556445959,17.587959176919863,37551.06980952381,207477.61904761905
SE,wheat,SE122,5.439809523809524,59.082139113729895,16.68946867363873,28475.16533333333,156580.47619047618
SE,wheat,SE123,6.336666666666666,58.36180123018982,15.67058599143462,54220.68633333333,345218.5714285714
SE,wheat,SE124,5.571523809523809,59.35759919430933,14.972099260669822,17254.055095238095,97446.66666666667
SE,wheat,SE125,5.094047619047619,59.74736585926137,16.16372577039206,20973.02542857143,108521.90476190476
SE,wheat,SE211,5.134071428571429,57.53270899554726,14.407832973675474,1651.7344285714285,8905.714285714286
SE,wheat,SE212,4.533625,56.79417997290586,14.571015855473927,890.0655,4062.5
SE,wheat,SE213,6.01152380952381,57.197244194698804,16.12943095192606,12493.571333333335,75598.09523809524
SE,wheat,SE214,5.044142857142857,57.51418166274139,18.54391157880774,11255.660952380953,57947.142857142855
SE,wheat,SE221,6.35152380952381,56.280478615479836,15.197174097375607,3298.7201428571434,21431.904761904763
SE,wheat,SE224,7.40247619047619,55.95224019682954,13.596144378714348,103321.52023809523,767421.4285714285
SE,wheat,SE231,5.944619047619048,56.96055612829542,12.836575855939929,12404.175428571429,74608.09523809524
SE,wheat,SE232,5.817380952380953,58.312676188087714,12.836884362482728,69419.82942857144,408910.4761904762
SE,wheat,SE311,4.747285714285714,59.77405892123859,13.15295053244388,4914.993142857143,24037.14285714286
SE,wheat,SE312,3.9213684210526316,60.959714892967305,14.34754510614844,3072.5809999999997,12632.105263157895
SE,wheat,SE313,3.849307692307692,61.44796494010427,16.293061007761874,1922.8641538461538,7869.2307692307695
PL,wheat,PL21,3.5295555555555556,49.858621610256016,20.269056111992732,99300.11072222222,349477.8662222222
PL,wheat,PL22,4.158277777777778,50.33101710871583,18.994407475495308,64888.99616666667,271199.1364444445
PL,wheat,PL41,4.426611111111111,52.330403678576864,17.243498450707662,210663.59266666666,936815.944888889
PL,wheat,PL42,4.643888888888889,53.58079322514868,15.564705841802013,175082.34266666666,803208.2677777777
PL,wheat,PL43,4.0104999999999995,52.196646846776545,15.342580414716766,57447.63422222222,229775.3432222222
PL,wheat,PL51,4.751777777777778,51.08949351700467,16.410008083960633,265410.5516111111,1262063.0984444444
PL,wheat,PL52,5.610055555555555,50.64754654889249,17.89964333094194,151107.23344444446,848675.0053888889
PL,wheat,PL61,4.421222222222222,53.072584268047336,18.48904224398646,198375.98322222222,880608.0830555556
PL,wheat,PL62,4.397722222222223,53.85365623206893,20.833415416294844,145887.29127777775,642260.0118888889
PL,wheat,PL63,4.945388888888889,54.15208029282871,17.974650463742766,144931.77577777777,720199.0103333334
PL,wheat,PL71,3.667611111111111,51.604954770270254,19.417433617565127,101208.98933333333,374393.6009444444
PL,wheat,PL72,3.221388888888889,50.763320947613366,20.768472238379186,77136.82555555557,249401.9593888889
PL,wheat,PL81,4.021,51.22069729176084,22.90033223808332,292231.2091111111,1191025.1270555556
PL,wheat,PL82,3.4660555555555552,49.95324255449932,22.168422474902602,107887.15627777779,371337.8299444445
PL,wheat,PL84,3.174888888888889,53.26426581857575,22.92987629885848,47068.657722222226,149499.06133333335
PL,wheat,PL91,3.408153846153846,52.238149234569654,21.123981496676922,18135.95123076923,61882.41346153846
PL,wheat,PL92,3.4740555555555557,52.36757616414361,21.091610280713994,135855.62600000002,474603.4988888889
US,wheat,US-01-001,2.593571428571429,32.53492293292812,-86.64273013739468,962.6078571428571,2481.0285714285715
US,wheat,US-01-003,3.037055555555556,30.72747876693927,-87.72256353282204,3446.695,10210.577777777777
US,wheat,US-01-005,2.5655,31.869581438362314,-85.39320978902569,311.619,835.04
US,wheat,US-01-009,2.7201999999999997,33.98086883066284,-86.56738039931867,194.256,533.12
US,wheat,US-01-011,2.0865,32.10052546439408,-85.71567933028645,202.35,421.6
US,wheat,US-01-013,2.3421,31.752429155671948,-86.68027562242744,283.29,622.88
US,wheat,US-01-015,2.8428888888888886,33.771415664670144,-85.82603921906548,454.16333333333336,1272.3555555555556
US,wheat,US-01-017,2.356,32.91434535110719,-85.39203021569158,161.88,380.8
US,wheat,US-01-019,2.950181818181818,34.17590465311609,-85.60380095916831,779.9672727272726,2146.3272727272724
US,wheat,US-01-021,2.0370000000000004,32.84786730790755,-86.71879022444824,188.85999999999999,353.59999999999997
US,wheat,US-01-029,2.221,33.67451320426218,-85.51880933254934,121.41,272.0
US,wheat,US-01-031,2.5296666666666665,31.402649421681172,-85.98815267828464,656.5133333333333,1547.3777777777777
US,wheat,US-01-033,2.8286000000000002,34.700470938378004,-87.80492780624994,817.4939999999999,2200.48
US,wheat,US-01-035,2.7630000000000003,31.42923693025014,-86.99366150725562,277.50857142857143,781.0285714285714
US,wheat,US-01-039,2.6510000000000002,31.248491453552955,-86.45126684432357,378.9463636363636,905.0181818181819
US,wheat,US-01-041,2.4965714285714284,31.731518503686406,-86.31354750864885,254.38285714285712,641.1428571428571
US,wheat,US-01-043,2.7333571428571433,34.1319452282297,-86.86757572060472,448.0607142857143,1227.8857142857144
US,wheat,US-01-045,2.567818181818182,31.431810191228635,-85.61100443496244,504.03545454545457,1224.0
US,wheat,US-01-047,2.3607857142857145,32.32597925878849,-87.10646900303215,991.515,2176.0
US,wheat,US-01-049,2.6235833333333334,34.45980033140949,-85.80410976896026,880.2225,2194.1333333333337
US,wheat,US-01-051,2.5654166666666667,32.5966474982654,-86.14915715534637,225.95749999999998,578.0
US,wheat,US-01-053,3.1430000000000002,31.126134749153067,-87.16158196121191,1221.688125,3818.2
US,wheat,US-01-055,2.4800000000000004,34.04525667023056,-86.03476332697053,242.82,598.4
